f_id,item,veg_or_non_veg
fd4794,Raagi Idli,Veg
fd4795,Sajjalu Idli,Veg
fd4796,Nava Dhanyala Idli,Veg
fd4797,Pala Kura Idli,Veg
fd4798,Black Rice Idli,Veg
fd4799,Mini Idli [10pieces],Veg
fd4800,Ghee Kaaram Idli,Veg
fd4801,Poori [2Pcs],Veg
fd4802,Idli [2Pcs] Vada [1Pc],Veg
fd4803,Pongal,Veg
fd4804,Badam Milk Normal 12,Veg
fd4805,Badam Milk Normal,Veg
fd4806,Badam Milk,Veg
fd4807,Single Sundae,Veg
fd4808,Top Nuts Sundae,Veg
fd4809,Sharmili,Veg
fd4810,Chocolate Sundae Single,Veg
fd4811,Tall Beauty,Veg
fd4812,Honeymoon Sundae,Veg
fd4813,Chocolate Sundae Large,Veg
fd4814,Butter Scotch Sundae,Veg
fd4815,Black Current Sundae,Veg
fd4816,Titanic Boat,Veg
fd4817,Tooty Frooty,Veg
fd4818,Chocolate Siffon Sundae New,Veg
fd4819,Banana Berry Fudge New,Veg
fd4820,Creamy Bowl New,Veg
fd4821,Minerva Kiwi Sundae New,Veg
fd4822,Chocolate Dry Fruit Sundae,Veg
fd4823,Minerva Sundae,Veg
fd4824,Lassi Half,Veg
fd4825,Lassi Full,Veg
fd4826,Raj Bhog Lassi,Veg
fd4828,Rose Lassi,Veg
fd4831,Kesar Lassi,Veg
fd4832,Rajwadi Dry Fruit Lassi,Veg
fd4833,Strawberry  Falooda,Veg
fd4834,Pineapple  Falooda,Veg
fd4835,Green Pista  Falooda,Veg
fd4836,Butter Scotch  Falooda,Veg
fd4837,Black Current  Falooda,Veg
fd4838,Kiwi  Falooda,Veg
fd4839,Mango  Falooda,Veg
fd4840,Kesar  Falooda,Veg
fd4841,Royal Rose  Falooda,Veg
fd4842,Dry Fruit  Falooda,Veg
fd4843,Special Minerva Kulfi  Falooda,Veg
fd4845,Mango Candy,Veg
fd4846,Grape Candy New,Veg
fd4847,Tamarind Candy New,Veg
fd4848,Lyche Candy New,Veg
fd4850,Pista Kulfi,Veg
fd4851,Badam Kulfi,Veg
fd4852,Dry Fruit Kulfi,Veg
fd4854,Kulfi Malai Kesar,Veg
fd4857,Butter Scotch   123,Veg
fd4858,Chocolate Chocochips,Veg
fd4859,Black Currant,Veg
fd4860,Roasted Almond,Veg
fd4861,Vanilla,Veg
fd4862,Butters Scotch,Veg
fd4865,Pista,Veg
fd4868,Panpasand,Veg
fd4869,Gauva,Veg
fd4870,Dolserato,Veg
fd4871,Sitafal,Veg
fd4872,Cheesecake,Veg
fd4873,Hasselnet,Veg
fd4874,Malai Coconut,Veg
fd4875,Nutty Delight,Veg
fd4876,Chappan Bhog,Veg
fd4877,Brazillian Coffee,Veg
fd4878,Tropical Fruit,Veg
fd4879,Kesar Pista,Veg
fd4880,Fresh Orange,Veg
fd4881,Hawain Dream,Veg
fd4882,Pudding Cake,Veg
fd4883,Dry Fruits,Veg
fd4884,Chocolate  123,Veg
fd4885,Mango Alphonso,Veg
fd4886,Fresh Strawberry,Veg
fd4887,Pista    12,Veg
fd4888,Butter Scotch  12,Veg
fd4889,Cookies & Cream 12,Veg
fd4890,Hazelnut 12,Veg
fd4891,Walnut Anjeer,Veg
fd4892,Mocca Brownie,Veg
fd4893,American Nuts,Veg
fd4894,Roasted Almond 12,Veg
fd4895,Pineapple Milk Shake,Veg
fd4897,Butterscotch Milk Shake,Veg
fd4898,Blackcurrent Milk Shake,Veg
fd4899,Mango Milk Shake,Veg
fd4900,Mango Kesar Milk Shake,Veg
fd4902,Oreo Milk Shake,Veg
fd4903,Chocolate Milk Shake,Veg
fd4904,Chaco B Milk Shake,Veg
fd4906,Magic Marble,Veg
fd4907,Ripple,Veg
fd4908,Vanilla Choco Sundae,Veg
fd4909,Caramal Sundae,Veg
fd4910,Badam Shakes Single,Veg
fd4911,Fruit Salad Single,Veg
fd4912,Fruit Salad Full,Veg
fd4913,Setdosa (3piece),Veg
fd4914,Bonda,Veg
fd4915,Poori,Veg
fd4916,Uttapam,Veg
fd4918,Wadaplate,Veg
fd4919,Idli Plate,Veg
fd4920,Plate Meals,Veg
fd4921,Full Meals,Veg
fd4922,Chapathi (3 Piece) With Daal & Curry,Veg
fd4923,Musk Melon Fruit Bowl,Veg
fd4924,Sugar Cane Juice Lemon Flavour,Veg
fd4925,Musk Melon Juice,Veg
fd4926,Sugar Cane Juice Natural One Litre,Veg
fd4927,Buttersctoch Milk Shake,Veg
fd4929,Real Mango Milk Shake,Veg
fd4930,Gauva Milk Shake,Veg
fd4931,Litchi Milk Shake,Veg
fd4932,Blueberry Milk Shake,Veg
fd4933,Caramel Milk Shake,Veg
fd4934,Cookies Milk Shake,Veg
fd4935,Rich Coffee Milk Shake,Veg
fd4936,Gems Milk Shake,Veg
fd4937,Perk Milk Shake,Veg
fd4938,5 Star Milk Shake,Veg
fd4939,Buttersctoch Thick Shake,Veg
fd4940,Strawberry Thick Shake,Veg
fd4941,Real Mango Thick Shake,Veg
fd4942,Gauva Thick Shake,Veg
fd4943,Litchi Thick Shake,Veg
fd4944,Blueberry Thick Shake,Veg
fd4945,Caramel Thick Shake,Veg
fd4946,Cookies Thick Shake,Veg
fd4947,Rich Coffee Thick Shake,Veg
fd4948,Black Current Thick Shake,Veg
fd4949,Gems Thick Shake,Veg
fd4950,Perk Thick Shake,Veg
fd4951,5 Star Thick Shake,Veg
fd4953,Kitkat Milk Shake,Veg
fd4954,White Chocolate Milk Shake,Veg
fd4955,Dark Chocolate Milk Shake,Veg
fd4956,Black Forest Milk Shake,Veg
fd4958,Belgium Milk Shake,Veg
fd4959,Strawberry and Chocoalte Milk Shake,Veg
fd4960,Oreo Strawberry Milk Shake,Veg
fd4962,Oreo Banana Milk Shake,Veg
fd4963,Cookies and Cream Milk Shake,Veg
fd4964,Chocolate Thick Shake,Veg
fd4965,Kitkat Thick Shake,Veg
fd4966,White Chocolate Thick Shake,Veg
fd4967,Dark Chocolate Thick Shake,Veg
fd4968,Black Forest Thick Shake,Veg
fd4969,Nutella Thick Shake,Veg
fd4970,Belgium Thick Shake,Veg
fd4971,Strawberry Banana Thick Shake,Veg
fd4972,Strawberry and Chocoalte Thick Shake,Veg
fd4973,Oreo Strawberry Thick Shake,Veg
fd4974,Oreo Thick Shake,Veg
fd4975,Cookies and Cream Thick Shake,Veg
fd4976,Kiwi Milk Shake,Veg
fd4977,Kiwi Pineapple Milk Shake,Veg
fd4978,Orange Milk Shake,Veg
fd4979,Green Milk Shake,Veg
fd4980,Pine Apple Milk Shake,Veg
fd4981,Mango Pineappel Milk Shake,Veg
fd4982,Special Dry Fruit Milk Shake,Veg
fd4983,Kiwi Thick Shake,Veg
fd4984,Kiwi Pineapple Thick Shake,Veg
fd4985,Orange Thick Shake,Veg
fd4986,Green Thick Shake,Veg
fd4987,Pine Apple Thick Shake,Veg
fd4988,Mango Pineappel Thick Shake,Veg
fd4995,Fish Chilly,Non-veg
fd4998,Fish Masala,Non-veg
fd5000,Chicken Tangdi Kebab (2 Pcs),Non-veg
fd5006,Chicken Lollipop (4 Pcs),Non-veg
fd5009,Paneer Kaju,Veg
fd5011,Louts Grand Special Chicken Biryani,Non-veg
fd5016,Lotus Grand Special Veg Biryani,Veg
fd5017,Veg Manchuria Wet,Veg
fd5036,Fish Majestic,Non-veg
fd5038,Apollo Prawns,Non-veg
fd5039,Prawn 65,Non-veg
fd5041,Prawns Chilly,Non-veg
fd5042,Prawns Manchurian,Non-veg
fd5048,Kerala Paratha,Veg
fd5052,Stuffed Paratha,Veg
fd5055,Fish Kolhapuri,Non-veg
fd5057,Fish Pulusu,Non-veg
fd5058,Fish Telangana,Non-veg
fd5060,Prawns Kolhapuri,Non-veg
fd5061,Prawns Masala,Non-veg
fd5062,Prawns Telangana,Non-veg
fd5068,Egg Pakoda,Non-veg
fd5071,Egg Roasted (2 Eggs),Non-veg
fd5072,Boiled Egg (2),Non-veg
fd5073,Lotus Grand Special Chicken Dry,Non-veg
fd5079,Telangana Chicken Dry,Non-veg
fd5080,Chicken Roasted,Non-veg
fd5081,Basket Chicken,Non-veg
fd5082,Chicken Drumstick,Non-veg
fd5084,Lemon Chicken Dry,Non-veg
fd5085,Chicken Bhurani,Non-veg
fd5087,Chicken Cashew Nut,Non-veg
fd5091,Veg Nawabi,Veg
fd5092,Veg Shahi Kurma,Veg
fd5097,Paneer Hyderabadi,Veg
fd5102,Paneer Rimjim,Veg
fd5104,Paneer Pasand,Veg
fd5107,Mix Kofta,Veg
fd5108,Kashmiri Kofta,Veg
fd5110,Tomato Chutney,Veg
fd5120,Green Chicken,Non-veg
fd5122,Chicken Maharaja,Non-veg
fd5123,Chicken Afghani,Non-veg
fd5125,Chicken Patiyala,Non-veg
fd5126,Kasturi Chicken,Non-veg
fd5127,Lotus Grand Chicken Curry,Non-veg
fd5129,Chicken Curry Single,Non-veg
fd5130,Telangana Chicken,Non-veg
fd5137,Chicken Maharani,Non-veg
fd5138,Chicken Dilkush,Non-veg
fd5140,Lotus Grand Special Mutton Curry,Non-veg
fd5142,Mutton Curry Single,Non-veg
fd5144,Kadai Mutton,Non-veg
fd5146,Mutton Keema,Non-veg
fd5148,Kasturi Mutton,Non-veg
fd5150,Kunda Chicken Biryani,Non-veg
fd5155,Louts Grand Special Mutton Biryani,Non-veg
fd5157,Fish Biryani,Non-veg
fd5162,Biryani Rice,Veg
fd5168,Egg Keema,Non-veg
fd5171,Veg Hot & Sour Soup,Veg
fd5172,Mushroom Soup,Veg
fd5173,Baby Corn Soup,Veg
fd5174,Veg Manchow soup,Veg
fd5176,Chicken Soup,Non-veg
fd5177,Chicken Hot N Sour Soup,Non-veg
fd5181,Veg Manchuria Dry,Veg
fd5182,Gobi  65,Veg
fd5185,Veg Shangri la,Veg
fd5186,Veg Patiala,Veg
fd5189,Veg Crispy,Veg
fd5191,Veg Pakoda,Veg
fd5194,Veg Chilly,Veg
fd5195,Veg Kancha,Veg
fd5196,Veg Hara Bara Kebab,Veg
fd5199,Paneer Majestic,Veg
fd5215,Jeera Dal,Veg
fd5216,Dal Mughlai,Veg
fd5218,Kichidi (1 Plate),Veg
fd5219,Boiled Egg (1 Pc),Non-veg
fd5220,Mirchi Bajji (4 Pcs),Veg
fd5221,Samosa (1 Pc),Veg
fd5222,Allu Bhajji (1 Plate),Veg
fd5223,Pakodi (1 Plate),Veg
fd5224,Cut Mirchi (1 Plate),Veg
fd5225,Chicken Biryani (1 Plate),Non-veg
fd5228,Onion Dosa,Veg
fd5229,Hyderabadi Masala Dosa,Veg
fd5230,Set Dosa,Veg
fd5231,Butter Dosa,Veg
fd5232,Butter Paneer Dosa,Veg
fd5234,Sambar Idli,Veg
fd5235,Masala Tawa Idli,Veg
fd5236,Ghee Idli,Veg
fd5237,Butter Ghee Idli,Veg
fd5238,Mysore Bonda,Veg
fd5239,Tawa Bonda,Veg
fd5240,Buttter Tawa Bonda,Veg
fd5241,Paneer Butter Tawa Bonda,Veg
fd5242,Vada,Veg
fd5244,Uthappa,Veg
fd5245,Puri,Veg
fd5248,Ginger Naan,Veg
fd5249,Paratha,Veg
fd5251,Masala Paratha,Veg
fd5259,Baby corn 65,Veg
fd5260,Baby Corn Stick,Veg
fd5262,Mom ' S Kitchen Kunda Biryani,Veg
fd5265,Chicken Hyderabad,Non-veg
fd5270,Omlet,Non-veg
fd5280,Veg Family Pack,Veg
fd5281,Veg Pot Biryani,Veg
fd5282,Chicken Biryani (Single),Non-veg
fd5284,Mutton Biryani (Single),Non-veg
fd5285,Mutton Biryani (1 Plate),Non-veg
fd5288,Mom ' S Kitchen Special Veg Biryani,Veg
fd5296,Chicken Biryani Family Pack,Non-veg
fd5297,Pot Biryani,Non-veg
fd5299,Dal Tadkha,Veg
fd5306,Veg. Manchuria Rice,Veg
fd5307,Egg  Fried Rice,Non-veg
fd5308,Egg Fried Rice [Double],Non-veg
fd5310,Spl Chicken Manchuria Rice,Non-veg
fd5315,Egg Noodles [Double],Non-veg
fd5319,"Chicken Rice, Roti",Non-veg
fd5320,"Boti Rice, Roti",Non-veg
fd5329,Tomato Fry,Veg
fd5333,Full Meals.,Veg
fd5343,MEALS PLATE,Veg
fd5345,Chicken Dish,Non-veg
fd5347,Chicken Fry,Non-veg
fd5350,Egg Masala Fry,Non-veg
fd5355,Boti Curry,Non-veg
fd5356,Boti Fry,Non-veg
fd5357,Renuka Special Chicken Fry,Non-veg
fd5358,Mughlai Dal Fry,Non-veg
fd5359,Dum Chicken,Non-veg
fd5360,County Chicken (Plate),Non-veg
fd5363,Jowar Roti,Veg
fd5369,Sada Papad,Veg
fd5372,Half Boiled,Non-veg
fd5381,Kaju Masala,Veg
fd5383,Chicken Crispy,Non-veg
fd5389,Tandoori Roti Plain,Veg
fd5393,Veg Cut Let,Veg
fd5395,Cream of Tomato,Veg
fd5396,Cream of Mushroom,Veg
fd5397,Sweet Corn Soup,Veg
fd5398,Hot & Sour Soup,Veg
fd5400,Lemon Corainder Soup,Veg
fd5402,Veg Noodle Soup,Veg
fd5403,Cream of Chicken Soup,Non-veg
fd5404,Hot & Sour Chicken Soup,Non-veg
fd5405,Manchow Chicken Soup,Non-veg
fd5406,Sweet Coprn Chicken Soup,Non-veg
fd5407,Chicken Noodle Soup,Non-veg
fd5410,Methi Corn Kabab,Veg
fd5411,Mushroom Babycorn Tikka,Veg
fd5413,Paneer Pahadi Tikka,Veg
fd5414,Paneer Achari Tikka,Veg
fd5415,Paneeer Banjara Tikka,Veg
fd5424,Paneer Honey Chilli,Veg
fd5426,Bveg Sanghai Roll,Veg
fd5427,Paneer Dragan,Veg
fd5429,Potato Honey Chilli,Veg
fd5431,Baigan Masala,Veg
fd5432,Shev Bhaji,Veg
fd5434,Methi Matar Malai,Veg
fd5437,Veg Kofta Curry,Veg
fd5439,Veg Anddacurry,Veg
fd5440,Staff Tomato,Veg
fd5441,Staff Capsicum,Veg
fd5442,Bhindy Fry,Veg
fd5443,Bhindy Masala,Veg
fd5444,Veg Hydrabadi,Veg
fd5445,Veg Handi,Veg
fd5454,Paneer Varadi,Veg
fd5457,Paneer Bhurji Curry,Veg
fd5458,Paneer Taka Tak,Veg
fd5460,Baby Corn Masala,Veg
fd5461,Special Cial Tanishq Veg,Veg
fd5464,Chicken Seekh Kabab,Non-veg
fd5465,Mutton Seekh Kabab,Non-veg
fd5466,Chicken Banjara Kebab,Non-veg
fd5467,Chicken Pahadi Kabab,Non-veg
fd5468,Chicken Tangdi Kabab,Non-veg
fd5473,Chicken Spring Roll,Non-veg
fd5475,Chicken Black Paper,Non-veg
fd5484,Tandoori Roti Butter,Veg
fd5488,Garlic Cheese Naan,Veg
fd5489,Kashmiri Naan,Veg
fd5490,Partha Plain,Veg
fd5491,Partha Butter,Veg
fd5499,Veg Fries Rice,Veg
fd5500,Veg Schezwan Rice,Veg
fd5501,Veg Choupsey,Veg
fd5502,Manchurian Rice,Non-veg
fd5503,Chicken Hakka Nooodle,Non-veg
fd5504,Chicken Schezwannoodle,Non-veg
fd5505,Chicken Fries Rice,Non-veg
fd5506,Chicken Schezwan Rice,Non-veg
fd5507,American Choupsey,Veg
fd5508,Egg Fries Rice,Non-veg
fd5512,Chicken Varhadi,Non-veg
fd5515,Chicken Bhuna,Non-veg
fd5516,Chicken Rara Masala,Non-veg
fd5517,Chicken Handi,Non-veg
fd5521,Mutton Kolhapuri Varhadi,Non-veg
fd5522,Mutton Rara Masala,Non-veg
fd5523,Mutton Handi,Non-veg
fd5524,Egg Curry Masala,Non-veg
fd5526,Egg Bhurji Curry,Non-veg
fd5528,Boiled Eggs,Non-veg
fd5529,Egg Half Fry,Non-veg
fd5531,Dal Jeera,Veg
fd5535,Dal Palak,Veg
fd5536,Steamed Rice,Veg
fd5539,Butter Khichdi,Veg
fd5541,Veg Hyderabadi Biryani,Veg
fd5542,Onion Jeera Rice,Veg
fd5543,Kasmiri Pullao,Veg
fd5544,Veg 65 + Veg Hyderabadi + Veg Pulao,Veg
fd5545,Veg Crispy + Gobi Manchurian + Mix Veg + Veg Biryani,Veg
fd5546,Paneer Pakoda + Paneer Chilli + Paneer Manchurian,Veg
fd5547,Paneer 65 + Palak Paneer + Steamed Rice,Veg
fd5548,Mushroom Chilli + Baby Corn Chilli + Mushroom Masala + Jeera Rice,Veg
fd5549,Crispy Corn + Baigan Masala + Baby Corn Masala,Veg
fd5550,Chicken Pakoda 100 Gms,Non-veg
fd5551,Chicken Pakoda 250 Gms,Non-veg
fd5552,Chicken Dum Biryani (1kg),Non-veg
fd5553,Chicken Dum Biryani 500g,Non-veg
fd5554,Chicken Curry Rice (Plate),Non-veg
fd5555,Chicken Curry (Plate),Non-veg
fd5556,Lagan Chicken 250 Gms,Non-veg
fd5557,Shami Kabab,Non-veg
fd5558,Chicken Tangdi Piece (Each 1),Non-veg
fd5559,Fish Fry Center 1 Piece,Non-veg
fd5561,Banana Lassi,Veg
fd5564,Dry Fruit Lasii,Veg
fd5565,Saffron Lassi,Veg
fd5566,Mix Fruitz Lassi,Veg
fd5567,Falooda,Veg
fd5568,Kesar,Veg
fd5569,Kulfi,Veg
fd5570,Delhi Falooda,Veg
fd5571,Malai Kulfi,Veg
fd5573,Dry Fruit,Veg
fd5575,Natural Protein,Veg
fd5576,Choco Whey,Veg
fd5579,Almond Rich,Veg
fd5580,Fat Burner,Veg
fd5581,Weight Loss Shake,Veg
fd5582,Fruit Salad With Ice Cream,Veg
fd5583,Mexican Brownie,Veg
fd5584,Chcolate Fudge,Veg
fd5585,Dry Fruit Sundae,Veg
fd5586,Death By Chocolate,Veg
fd5587,Arabian Nights,Veg
fd5588,Lychee Ice Cream,Veg
fd5589,Nutella Brownie,Veg
fd5590,Nutella Butterscotch,Veg
fd5594,Blueberry,Veg
fd5595,Shake The Date Milkshake,Veg
fd5596,Arabian Delight Milkshake,Veg
fd5597,Blueberry Dry Fruit Milkshake,Veg
fd5598,Kaju Anjeer Milkshake,Veg
fd5599,Pista Badam Milkshake,Veg
fd5600,Shake The Date Thickshake,Veg
fd5601,Arabian Delight Thickshake,Veg
fd5602,Blueberry Dry Fruit Thickshake,Veg
fd5603,Kaju Anjeer Thickshake,Veg
fd5604,Pista Badam Thickshake,Veg
fd5605,Muskmelon Milkshake,Veg
fd5606,Papaya Milkshake,Veg
fd5607,Chiccko Milkshake,Veg
fd5608,Banana Milkshake,Veg
fd5609,Mango Alphonsa Milkshake,Veg
fd5610,Very Berry Strawberry Milkshake,Veg
fd5611,Kiwi Milkshake,Veg
fd5612,Avocado Milkshake,Veg
fd5613,Mango Avacado Milkshake,Veg
fd5614,Blueberry Lychee Milkshake,Veg
fd5615,Berry Blue Berry Shake Milkshake,Veg
fd5616,Muskmelon Thickshake,Veg
fd5617,Papaya Thickshake,Veg
fd5618,Chiccko Thickshake,Veg
fd5619,Banana Thickshake,Veg
fd5620,Mango Alphonsa Thickshake,Veg
fd5621,Very Berry Strawberry Thickshake,Veg
fd5622,Kiwi Thickshake,Veg
fd5623,Avocado Thickshake,Veg
fd5624,Mango Avacado Thickshake,Veg
fd5625,Blueberry Lychee Thickshake,Veg
fd5626,Berry Blue Berry Shake Thickshake,Veg
fd5627,Hard Rock Coffee Milkshake,Veg
fd5628,Swedish House Mafia Milkshake,Veg
fd5629,Mud Coffee Milkshake,Veg
fd5630,Hard Rock Coffee Thickshake,Veg
fd5631,Swedish House Mafia Thickshake,Veg
fd5632,Mud Coffee Thickshake,Veg
fd5633,Sharja Milkshake,Veg
fd5634,Italian Ferrezo Milkshake,Veg
fd5635,Forzen Borbon Milkshake,Veg
fd5636,Belgium Chocolate Milkshake,Veg
fd5637,Oreo Milkshake,Veg
fd5638,Belgium Chips Milkshake,Veg
fd5639,Snickers Shake Milkshake,Veg
fd5640,Oreo Loaded Milkshake,Veg
fd5641,Hop Scotch Butterscotch Milkshake,Veg
fd5642,Nutella Shake Milkshake,Veg
fd5643,Mississippi Mud Milkshake,Veg
fd5644,Sharja Thickshake,Veg
fd5645,Italian Ferrezo Thickshake,Veg
fd5646,Forzen Borbon Thickshake,Veg
fd5647,Belgium Chocolate Thickshake,Veg
fd5648,Oreo Thickshake,Veg
fd5649,Belgium Chips Thickshake,Veg
fd5650,Snickers Shake Thickshake,Veg
fd5651,Oreo Loaded Thickshake,Veg
fd5652,Hop Scotch Butterscotch Thickshake,Veg
fd5653,Nutella Shake Thickshake,Veg
fd5654,Mississippi Mud Thickshake,Veg
fd5657,Pineapple,Veg
fd5658,Watermelon,Veg
fd5659,Morracon Mint Lime,Veg
fd5660,Mexican Mojito,Veg
fd5661,Spanish Melomelime,Veg
fd5662,Nordic Summer,Veg
fd5663,Delight,Veg
fd5664,Berry Pepper Shot,Veg
fd5665,Blue Lime,Veg
fd5667,Chatpata Achari Burger,Veg
fd5668,Paneer Crispy Burger,Veg
fd5669,Twa Burger,Veg
fd5670,Tawa Burger,Veg
fd5671,Double Egg Burger,Non-veg
fd5673,Aloo Cheese Roll,Veg
fd5674,Masala Corn And Paneer,Veg
fd5675,Tawa Paneer,Veg
fd5676,Egg & Pepper,Non-veg
fd5677,Chicken Spicy,Non-veg
fd5679,Mini Hawaiian Veggie Pizza,Veg
fd5680,Small Hawaiian Veggie Pizza,Veg
fd5681,Mini Italain Veggie Pizza,Veg
fd5682,Small Italain Veggie Pizza,Veg
fd5683,Mini Mexican Veggie Pizza,Veg
fd5684,Small Mexican Veggie Pizza,Veg
fd5685,Mini Grekish Veggie Pizza,Veg
fd5686,Small Grekish Veggie Pizza,Veg
fd5687,Mini Chicken Tikka Pizza,Non-veg
fd5688,Small Chicken Tikka Pizza,Non-veg
fd5689,Mini Peri Peri Chicken Pizza,Non-veg
fd5690,Small Peri Peri Chicken Pizza,Non-veg
fd5691,Mini Chicken Bbq Pizza,Non-veg
fd5692,Small Chicken Bbq Pizza,Non-veg
fd5693,Mini Mexican Chicken Pizza,Non-veg
fd5694,Small Mexican Chicken Pizza,Non-veg
fd5698,Chilli Cheese Fries,Veg
fd5699,Veggie Grill Sandwich,Non-veg
fd5700,Chilli Cheese,Veg
fd5701,Cheese Overloaded,Veg
fd5702,Paneer Veggies,Non-veg
fd5703,Nutella Chocolate,Veg
fd5704,Fruit Sandwich,Veg
fd5705,Oreo Tub +  Crackle Tub,Veg
fd5706,Trixy blueberry cheesecake Sundae,Veg
fd5707,Black Forest Feast  - pack of 3,Veg
fd5708,Cadbury Crackle,Veg
fd5709,Choco Brownie Fudge,Veg
fd5710,"Oreo & Cream  [Tub, 700ml]",Veg
fd5711,"Darkly Divine Chocolate Sensation [Tub, 700ml]",Veg
fd5712,"Creme Caramel [Tub, 700ml]",Veg
fd5713,"Butterscotch [Tub, 700ml]",Veg
fd5714,"Vanilla [Tub, 700ml]",Veg
fd5715,Blackcurrent & Raisins,Veg
fd5720,Cornetto Chokissimo,Veg
fd5721,Cornetto Double Chocolate,Veg
fd5722,Cornetto Oreo,Veg
fd5723,Cornetto Butterscotch,Veg
fd5724,Magnum Almond  Ice Cream,Veg
fd5725,Magnum Brownie Ice Cream,Veg
fd5726,Magnum Chocolate Truffle Ice Cream,Veg
fd5727,Trixy Cookie Sundae,Veg
fd5728,Oreo and Cream Cup,Veg
fd5729,"Kulfi Tub Ice Cream [Tub, 700ml]",Veg
fd5730,Cornetto Choco Vanilla x 4,Veg
fd5757,Onions & Capsicum Pizza,Veg
fd5758,Tomatoes Pizza,Veg
fd5759,"Capsicum, Paneer & Red Paprika Pizza",Veg
fd5760,Onions & Paneer Pizza,Veg
fd5761,Sweet Corns Pizza,Veg
fd5762,Onions Pizza,Veg
fd5763,"Jalapenos, Sweet Corns & Paneer Pizza",Veg
fd5764,Capsicum & Paneer Pizza,Veg
fd5766,Jalapenos & Olives Pizza,Veg
fd5767,Chicken Tikka & Chicken Salami Pizza,Non-veg
fd5768,Keema & Onion Pizza,Non-veg
fd5769,Capsicum & Chicken Tikka Pizza,Non-veg
fd5770,Chicken Seekh & Chicken Salami Pizza,Non-veg
fd5772,Garden Delight Pizza,Veg
fd5773,Lovers Bite Pizza,Veg
fd5774,Country Side Pizza,Veg
fd5775,Spring Fling Pizza,Veg
fd5776,Cheezy-7 Pizza,Veg
fd5777,Burn To Hell Pizza,Veg
fd5778,Garden Special Pizza,Veg
fd5779,Paneer Tikka Butter Masala Pizza,Veg
fd5780,Veg.hawaiian Pizza,Veg
fd5782,La Pino'z Paneer Pizza,Veg
fd5783,Cheese Lover Pizza,Veg
fd5784,English Retreat Pizza,Veg
fd5785,Korma Special Pizza,Veg
fd5786,Garlic-to-pizza,Veg
fd5787,African Peri Peri Veg Pizza,Veg
fd5788,Peri Peri Veg Pizza,Veg
fd5789,Las Vegas Treat Pizza,Veg
fd5790,Cheesy Macaroni Veg Pizza,Veg
fd5791,Hot Passion Pizza,Veg
fd5792,Veg Tamer Pizza,Veg
fd5793,Exotic Tikka Pizza,Non-veg
fd5794,Texas Bbq'ed Pizza,Non-veg
fd5795,Chicago Delight Pizza,Non-veg
fd5796,Indian Chicken Special Pizza,Non-veg
fd5797,Non-veg Hawaiian Pizza,Non-veg
fd5798,Korma Chicken Pizza,Non-veg
fd5799,Mixed Grill Pizza,Non-veg
fd5800,La Pino'z Chicken Pizza,Non-veg
fd5801,Hot Tandoori Pizza,Non-veg
fd5802,Cheesy Macaroni Non-veg Pizza,Non-veg
fd5803,Cheesy Chicken Pizza,Non-veg
fd5804,Peri Peri - Chicken Pizza,Non-veg
fd5805,California Chicken Pizza,Non-veg
fd5806,Chicken Tikka Lababdar Pizza,Non-veg
fd5807,Spanish Sizzles Pizza,Non-veg
fd5808,Fire-e-chicken Pizza,Non-veg
fd5809,Non-veg Tamer Pizza,Non-veg
fd5810,Classic Pizzas Pack Of 4 - Veg. (premium),Veg
fd5811,Classic Pizzas Pack Of 4 - Veg.,Veg
fd5812,Classic Pizzas Pack Of 4 - Non-veg.,Non-veg
fd5813,Cheezo Garlic Bread,Veg
fd5814,Stuffed Garlic Bread Veg,Veg
fd5815,Chicken Tikka Garlic Bread,Non-veg
fd5816,Supreme Garlic Bread,Veg
fd5817,English Chicken Garlic Bread,Non-veg
fd5818,Cheesy Garlic Bread,Veg
fd5819,Mutton Keema Garlic Bread,Non-veg
fd5820,Paneer Tikka Garlic Bread,Veg
fd5821,Americano Pasta Non-veg,Non-veg
fd5822,Indiana Pasta Veg,Veg
fd5823,Italiano Pasta Non-veg,Non-veg
fd5824,Americano Pasta Veg,Veg
fd5825,Indiana Pasta Non-veg,Non-veg
fd5826,Italiano Pasta Veg,Veg
fd5827,Mexicana Pasta Veg,Veg
fd5828,Smoke Chilli Macaroni Veg,Veg
fd5829,Smoke Chilli Macaroni Non-veg,Non-veg
fd5830,Macaroni & Cheese Veg,Veg
fd5831,Paneer Tikka Butter Masala & Red Paprika Taco's,Veg
fd5832,Paneer & Corns Taco's,Veg
fd5833,Chicken Tikka & Chicken Salami Taco's,Non-veg
fd5834,"Mushrooms, Corns & Onion Taco's",Veg
fd5835,"Mushroom, Olives & Cheese Quesadillas",Veg
fd5836,"Chicken Tikka, Jalapenos & Cheese Quesadillas",Non-veg
fd5837,"Paneer, Sweet Corn & Cheese Quesadillas",Veg
fd5838,Bbq Chicken & Cheese Quesadillas,Non-veg
fd5839,Mutton Shammi Kabab,Non-veg
fd5840,Chicken Meatballs,Non-veg
fd5841,Hot & Spicy Wings,Non-veg
fd5842,Peri Peri Wings,Non-veg
fd5843,Choco Lava,Veg
fd5858,Bbq Chicken Pizza,Non-veg
fd5867,Macaroni Special Pizza,Veg
fd5883,Tandoori Chicken Pizza,Non-veg
fd5885,Chicken De-light Pizza,Non-veg
fd5899,Meat Blast Pizza,Non-veg
fd5906,Stuffed Garlic Bread Non-veg,Non-veg
